epoch,epsilon,steps,reward,loss
25,0.7148255256619758,98,-0.17922077922081642,0.14736850559711456
50,0.5061440090758169,194,-0.17952218430079342,0.47913771867752075
75,0.20121522546294318,870,-0.13043478260283303,0.8971484303474426
100,0.0999969960769904,3062,-0.23265306132021207,0.45393967628479004
125,0.0999969960769904,183,31.114285714288144,7.981898784637451
150,0.0999969960769904,2414,155.7297297295755,1.2666749954223633
175,0.0999969960769904,39,-0.2931558935361044,4.4893388748168945
200,0.0999969960769904,431,154.5616438355988,2.464728832244873
225,0.0999969960769904,587,-0.07003745317867893,1.626523494720459
250,0.0999969960769904,3179,-0.12857142866548588,2.0840203762054443
275,0.0999969960769904,2837,-0.03617021287441813,0.7687678337097168
300,0.0999969960769904,837,-0.2638795986525847,0.943120539188385
325,0.0999969960769904,1204,151.21884057970806,7.276727676391602
350,0.0999969960769904,606,-0.2931506849263653,0.7139706611633301
375,0.0999969960769904,47,-0.11398601398598063,3.2466986179351807
400,0.0999969960769904,150,-0.056179775281173905,6.620153427124023
425,0.0999969960769904,872,-0.0615384615324015,4.766995429992676
450,0.0999969960769904,302,-0.048818897637482594,1.450142502784729
475,0.0999969960769904,1952,-0.14545454551020465,0.711273193359375
500,0.0999969960769904,565,-0.06478405315478253,5.61860990524292
525,0.0999969960769904,592,-0.029906542051443497,9.811490058898926
550,0.0999969960769904,33,-0.22258064516127446,3.3075129985809326
575,0.0999969960769904,926,-0.21992882561187882,1.5330770015716553
600,0.0999969960769904,798,-0.26956521738305217,3.015136241912842
625,0.0999969960769904,22,-0.06405228758169312,3.37284517288208
650,0.0999969960769904,777,-0.12508960572648642,2.427811622619629
675,0.0999969960769904,276,-0.04137931034505837,2.5028584003448486
700,0.0999969960769904,792,-0.18992805754535852,1.0972332954406738
725,0.0999969960769904,1211,-0.2863013698511364,2.236341714859009
750,0.0999969960769904,93,-0.12222222222229073,8.145513534545898
775,0.0999969960769904,1216,-0.2838709677476513,1.0272284746170044
800,0.0999969960769904,204,-0.03792048929699843,5.932592391967773
825,0.0999969960769904,492,-0.1896414342607497,3.184462070465088
850,0.0999969960769904,370,-0.2857142857145957,6.217066287994385
875,0.0999969960769904,2117,-0.17936507934120954,2.9403955936431885
900,0.0999969960769904,298,-0.22802547770790765,5.068685531616211
925,0.0999969960769904,693,-0.23226837060058442,2.596177577972412
950,0.0999969960769904,2993,-0.2890784983557976,2.3194820880889893
975,0.0999969960769904,993,-0.027659574459613312,5.683056354522705
1000,0.0999969960769904,70,-0.2899408284023136,2.900279998779297
